name	full_name	ssh_url	clone_url	html_url	created_at	updated_at	pushed_at	default_branch	size
llms-expose-science-claude	Hypogenic-AI/llms-expose-science-claude	git@github.com:Hypogenic-AI/llms-expose-science-claude.git	https://github.com/Hypogenic-AI/llms-expose-science-claude.git	https://github.com/Hypogenic-AI/llms-expose-science-claude	2025-12-14T22:45:32Z	2025-12-15T00:10:10Z	2025-12-15T00:10:07Z	main	62393
ai-human-communication-claude	Hypogenic-AI/ai-human-communication-claude	git@github.com:Hypogenic-AI/ai-human-communication-claude.git	https://github.com/Hypogenic-AI/ai-human-communication-claude.git	https://github.com/Hypogenic-AI/ai-human-communication-claude	2025-12-15T00:11:12Z	2025-12-15T05:07:48Z	2025-12-15T05:07:43Z	main	17006
llm-nonsense-commands-codex	Hypogenic-AI/llm-nonsense-commands-codex	git@github.com:Hypogenic-AI/llm-nonsense-commands-codex.git	https://github.com/Hypogenic-AI/llm-nonsense-commands-codex.git	https://github.com/Hypogenic-AI/llm-nonsense-commands-codex	2025-12-15T01:14:17Z	2025-12-15T01:55:42Z	2025-12-15T01:55:38Z	main	17178
llms-expose-science-codex	Hypogenic-AI/llms-expose-science-codex	git@github.com:Hypogenic-AI/llms-expose-science-codex.git	https://github.com/Hypogenic-AI/llms-expose-science-codex.git	https://github.com/Hypogenic-AI/llms-expose-science-codex	2025-12-15T01:14:55Z	2025-12-15T02:03:02Z	2025-12-15T02:02:58Z	main	9899
ai-human-comm-codex	Hypogenic-AI/ai-human-comm-codex	git@github.com:Hypogenic-AI/ai-human-comm-codex.git	https://github.com/Hypogenic-AI/ai-human-comm-codex.git	https://github.com/Hypogenic-AI/ai-human-comm-codex	2025-12-15T01:58:17Z	2025-12-15T03:18:53Z	2025-12-15T03:18:48Z	main	7155
llm-nonsense-commands-gemini	Hypogenic-AI/llm-nonsense-commands-gemini	git@github.com:Hypogenic-AI/llm-nonsense-commands-gemini.git	https://github.com/Hypogenic-AI/llm-nonsense-commands-gemini.git	https://github.com/Hypogenic-AI/llm-nonsense-commands-gemini	2025-12-15T03:38:50Z	2025-12-15T05:15:28Z	2025-12-15T05:15:23Z	main	41909
llms-expose-science-gemini	Hypogenic-AI/llms-expose-science-gemini	git@github.com:Hypogenic-AI/llms-expose-science-gemini.git	https://github.com/Hypogenic-AI/llms-expose-science-gemini.git	https://github.com/Hypogenic-AI/llms-expose-science-gemini	2025-12-15T05:15:54Z	2025-12-16T08:03:54Z	2025-12-16T08:03:50Z	main	3387
ai-human-communication-gemini	Hypogenic-AI/ai-human-communication-gemini	git@github.com:Hypogenic-AI/ai-human-communication-gemini.git	https://github.com/Hypogenic-AI/ai-human-communication-gemini.git	https://github.com/Hypogenic-AI/ai-human-communication-gemini	2025-12-15T05:16:07Z	2025-12-16T07:13:50Z	2025-12-16T07:13:47Z	main	5962
llm-nonsense-commands-claude	Hypogenic-AI/llm-nonsense-commands-claude	git@github.com:Hypogenic-AI/llm-nonsense-commands-claude.git	https://github.com/Hypogenic-AI/llm-nonsense-commands-claude.git	https://github.com/Hypogenic-AI/llm-nonsense-commands-claude	2025-12-16T08:25:23Z	2026-03-22T03:58:21Z	2026-03-22T03:58:16Z	main	70771
collab-disagreement-claude	Hypogenic-AI/collab-disagreement-claude	git@github.com:Hypogenic-AI/collab-disagreement-claude.git	https://github.com/Hypogenic-AI/collab-disagreement-claude.git	https://github.com/Hypogenic-AI/collab-disagreement-claude	2025-12-22T04:02:25Z	2025-12-22T05:32:58Z	2025-12-22T05:32:52Z	main	37083
collab-disagreement-codex	Hypogenic-AI/collab-disagreement-codex	git@github.com:Hypogenic-AI/collab-disagreement-codex.git	https://github.com/Hypogenic-AI/collab-disagreement-codex.git	https://github.com/Hypogenic-AI/collab-disagreement-codex	2025-12-22T04:03:00Z	2025-12-22T06:15:06Z	2025-12-22T06:15:02Z	main	23370
collab-disagreement-gemini	Hypogenic-AI/collab-disagreement-gemini	git@github.com:Hypogenic-AI/collab-disagreement-gemini.git	https://github.com/Hypogenic-AI/collab-disagreement-gemini.git	https://github.com/Hypogenic-AI/collab-disagreement-gemini	2025-12-22T04:03:12Z	2025-12-22T04:59:55Z	2025-12-22T04:59:51Z	main	3427
evolved-desire-llms-gemini	Hypogenic-AI/evolved-desire-llms-gemini	git@github.com:Hypogenic-AI/evolved-desire-llms-gemini.git	https://github.com/Hypogenic-AI/evolved-desire-llms-gemini.git	https://github.com/Hypogenic-AI/evolved-desire-llms-gemini	2025-12-22T05:03:12Z	2025-12-22T05:36:23Z	2025-12-22T05:36:19Z	main	1719
evolved-desire-llms-codex	Hypogenic-AI/evolved-desire-llms-codex	git@github.com:Hypogenic-AI/evolved-desire-llms-codex.git	https://github.com/Hypogenic-AI/evolved-desire-llms-codex.git	https://github.com/Hypogenic-AI/evolved-desire-llms-codex	2025-12-22T06:25:18Z	2025-12-22T06:45:16Z	2025-12-22T06:45:11Z	main	14904
evolved-desire-llms-claude	Hypogenic-AI/evolved-desire-llms-claude	git@github.com:Hypogenic-AI/evolved-desire-llms-claude.git	https://github.com/Hypogenic-AI/evolved-desire-llms-claude.git	https://github.com/Hypogenic-AI/evolved-desire-llms-claude	2025-12-22T06:25:35Z	2026-03-23T22:55:17Z	2026-03-23T22:55:13Z	main	55637
