provider,event_type,count,provider_total,share_pct
claude,message,18411,163320,11.273
claude,tool_call,49372,163320,30.23
claude,tool_result,45994,163320,28.162
claude,artifact_change,0,163320,0.0
claude,error,3422,163320,2.095
claude,status,44869,163320,27.473
claude,other,1252,163320,0.767
codex,message,8199,32850,24.959
codex,tool_call,11021,32850,33.549
codex,tool_result,10145,32850,30.883
codex,artifact_change,1043,32850,3.175
codex,error,865,32850,2.633
codex,status,880,32850,2.679
codex,other,697,32850,2.122
gemini,message,12972,27488,47.192
gemini,tool_call,7095,27488,25.811
gemini,tool_result,7006,27488,25.487
gemini,artifact_change,0,27488,0.0
gemini,error,100,27488,0.364
gemini,status,305,27488,1.11
gemini,other,10,27488,0.036
