source_event,target_event,count,conditional_probability,conditional_probability_pct
tool_call,tool_result,55381,0.8206051446183025,82.06
tool_result,tool_call,26630,0.4217344482452806,42.17
status,status,25239,0.5533048339362052,55.33
message,tool_call,24476,0.6183618816633824,61.84
tool_result,message,21003,0.33262067654884075,33.26
status,tool_call,11377,0.24941357009755563,24.94
message,message,11227,0.2836390278409378,28.36
tool_result,status,10454,0.16555808944634487,16.56
tool_call,status,5851,0.08669689426268373,8.67
status,message,4693,0.102882823632577,10.29
status,tool_result,4214,0.09238189192151705,9.24
tool_call,error,4116,0.06098862019914651,6.1
tool_result,tool_result,3414,0.054066894716837705,5.41
message,status,2824,0.07134556111363752,7.13
error,tool_call,2225,0.5089204025617566,50.89
tool_call,tool_call,2029,0.030064604077761972,3.01
tool_result,other,1357,0.021490561256809832,2.15
error,status,1084,0.24794144556267156,24.79
other,message,1013,0.5171005615109749,51.71
error,message,886,0.20265324794144557,20.27
message,artifact_change,707,0.017861654287302308,1.79
artifact_change,message,656,0.6289549376797698,62.9
other,tool_call,498,0.2542113323124043,25.42
other,other,306,0.1562021439509954,15.62
message,other,266,0.006720226365519681,0.67
