scope,provider,variable,N,mean,median,p25,p75,p90,p95,min,max
all,all,n_raw_records,469,489.0511727078891,415.0,297.0,605.0,874.9999999999999,1109.3999999999994,0.0,2489.0
all,all,n_canonical_events,469,476.8827292110874,408.0,295.0,599.0,848.7999999999997,1031.1999999999998,0.0,2249.0
all,all,event_expansion_ratio,455,0.9819985073520626,1.0,0.9728556485355648,1.0,1.0,1.0,0.8658008658008658,1.0
provider,claude,n_raw_records,291,575.9312714776632,501.0,360.0,742.5,1002.0,1281.0,0.0,2489.0
provider,claude,n_canonical_events,291,561.2371134020618,498.0,357.5,730.0,959.0,1190.0,0.0,2249.0
provider,claude,event_expansion_ratio,281,0.9845819501450969,1.0,1.0,1.0,1.0,1.0,0.8780487804878049,1.0
provider,codex,n_raw_records,96,357.09375,356.0,272.75,434.5,492.5,595.0,140.0,678.0
provider,codex,n_canonical_events,96,342.1875,340.5,265.5,410.0,480.0,571.0,125.0,678.0
provider,codex,event_expansion_ratio,96,0.9598103422335024,0.9595918367346938,0.9363777089783283,0.995197566311184,1.0,1.0,0.8658008658008658,1.0
provider,gemini,n_raw_records,82,335.219512195122,292.5,208.0,401.25,586.9000000000003,664.5500000000001,0.0,1240.0
provider,gemini,n_canonical_events,82,335.219512195122,292.5,208.0,401.25,586.9000000000003,664.5500000000001,0.0,1240.0
provider,gemini,event_expansion_ratio,78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
