repository_id,provider_trajectories,raw_records,canonical_events,event_expansion_ratio
1p-rlhf-claude,1,731,731,1.0
abstraction-vs-grounding-claude,1,389,389,1.0
adaptive-experimental-design-ead2,1,1098,1012,0.9216757741347905
adv-meta-llm-interpret-2f36-claude,1,664,664,1.0
adv-ood-robustness-3427-gemini,1,593,593,1.0
adv-ood-robustness-6bad-codex,1,212,211,0.9952830188679245
adv-prompt-propagation-552e-claude,1,387,387,1.0
adv-prompts-firewalls-claude,1,555,555,1.0
adv-robust-battery-sim-9bd0-claude,1,360,360,1.0
adversarial-battery-4ef6-claude,1,338,338,1.0
adversarial-ood-robustnes-73d8-claude,1,388,388,1.0
adversarial-prompts-abe2-claude,1,674,674,1.0
adversarial-prompts-claude,1,798,798,1.0
adversarial-prompts-docs-codex,1,306,305,0.9967320261437909
adversarial-tone-llm-2ab2-claude,1,308,308,1.0
adversarial_prompt_injection_v_20260728_181355_db6fd146,1,3,3,1.0
adversarial_prompt_injection_v_20260729_000827_3a2a967e,1,0,0,
agents-avoid-collapse-2361-claude,1,490,458,0.9346938775510204
agents-avoid-collapse-4c30-gemini,1,238,238,1.0
agents-avoid-collapse-6c08-codex,1,403,380,0.9429280397022333
ai-driven-invention-03d7-gemini,1,197,197,1.0
ai-driven-invention-4088-claude,1,873,797,0.9129438717067583
ai-driven-invention-9655-codex,1,462,442,0.9567099567099567
ai-human-comm-codex,1,157,156,0.9936305732484076
ai-human-communication-claude,1,0,0,
ai-human-communication-gemini,1,352,352,1.0
ai-methods-durability-codex,1,331,329,0.9939577039274925
ai-methods-durability-gemini,1,665,665,1.0
ai-review-equilibrium-claude,1,0,0,
ai-review-equilibrium-codex,1,399,398,0.9974937343358395
ai-review-equilibrium-gemini,1,757,757,1.0
ai-undetectability-lb-433c-claude,1,251,251,1.0
ai-undetectability-lb-claude,1,679,679,1.0
ai-undetectability-lb-dd40-gemini,1,357,357,1.0
align-failure-taxonomy-d26d-codex,1,392,370,0.9438775510204082
align-failures-taxonomy-344e-gemini,1,168,168,1.0
align-failures-taxonomy-db56-claude,1,401,373,0.9301745635910225
aligned-models-exasperati-claude,1,480,480,1.0
alignment-watermark-0988-claude,1,152,152,1.0
alignment-watermark-claude,1,715,715,1.0
all-words-phrases-nlp-claude,1,325,325,1.0
already-present-beliefs-ea16-codex,1,184,163,0.8858695652173914
anchoring-bias-lookback-claude,1,649,649,1.0
arch-specific-data-claude,1,474,474,1.0
architectural_diversity_in_mul_20260306_214906_8d1e21a6,1,365,365,1.0
artificial-outsiders-nlp-9b1b-claude,1,944,944,1.0
artificial-outsiders-nlp-claude,1,813,813,1.0
attention-for-ai-bc53-codex,2,512,512,1.0
attention-for-ai-f38a-gemini,1,207,207,1.0
attention-in-ai-d12f-claude,1,226,226,1.0
auto-opt-pde-solver-65e0,1,304,304,1.0
auto-opt-pde-solver-claude,1,0,0,
autonomous_multi_modal_ai_agen_20260306_222539_298f467e,1,352,352,1.0
base-vs-instruct-models-9ebe-codex,1,371,343,0.9245283018867925
base-vs-instruct-models-d3a1-gemini,1,211,211,1.0
base-vs-instruct-models-d95a-claude,1,492,432,0.8780487804878049
basis-vectors-persona-03ae-claude,1,310,310,1.0
basis-vectors-persona-4079-gemini,1,493,493,1.0
basis-vectors-persona-7acf-codex,1,336,335,0.9970238095238095
basis-vectors-persona-claude,1,737,737,1.0
can-powerful-models-help-with-difficult-3a0f-codex,1,231,200,0.8658008658008658
can-self-report-training-help-lie-de4e-codex,1,220,194,0.8818181818181818
can_self_report_training_help__20260728_230205_15848d12,1,1378,1282,0.93033381712627
careful-llm-words-4e0d-codex,1,287,287,1.0
careful-llm-words-aaec-claude,1,438,438,1.0
careful-llm-words-c365-gemini,1,304,304,1.0
careful-llm-words-claude,1,470,470,1.0
carrot-or-stick-nlp-1462-claude,1,394,394,1.0
carrot-or-stick-nlp-codex,1,509,500,0.9823182711198428
carrot-or-stick-nlp-e135-claude,1,410,410,1.0
carrot-or-stick-nlp-gemini,1,404,404,1.0
cefr-text-difficulty-0907-claude,1,473,473,1.0
chain-of-thought-conv-1189-codex,1,307,307,1.0
chain-of-thought-conv-b564-claude,1,678,678,1.0
chain-of-thought-conv-claude,1,452,452,1.0
chat-convergence-claude,1,320,320,1.0
cognitive-semi-groups-b2bf-claude,1,342,342,1.0
collab-disagreement-claude,1,0,0,
collab-disagreement-codex,1,365,363,0.9945205479452055
collab-disagreement-gemini,1,291,291,1.0
collab-rlvr-reasoning-f8bd-claude,1,455,455,1.0
compositional-directions-17d5-claude,1,541,541,1.0
compositional-directions-cf35-gemini,1,455,455,1.0
compositional-directions-claude,1,367,367,1.0
compositional-directions-fe75-codex,1,248,246,0.9919354838709677
cond-steering-vectors-claude,1,763,763,1.0
constrain-llm-behavior-codex,1,281,280,0.99644128113879
context-heavy-personas-claude,1,436,436,1.0
convergence-coherence-4256-claude,1,421,421,1.0
coordination-ai-game-claude,1,669,669,1.0
counter-example-machine-claude,1,305,305,1.0
covariance-belief-space-claude,1,258,258,1.0
cross-comp-reps-claude,1,315,315,1.0
debate-proof-strategies-1084-claude,1,261,261,1.0
detecting-lies-nlp-3065-codex,1,221,221,1.0
detecting-lies-nlp-777f-gemini,1,426,426,1.0
detecting-lies-nlp-c886-claude,1,551,551,1.0
diagnosing-experimental-insensitivity-c74f,1,2088,1940,0.9291187739463601
dialing-up-misalignment-systematic-c2b3,1,0,0,
diluted-steganography-9471-claude,1,447,447,1.0
diluted-steganography-b649-gemini,1,348,348,1.0
diluted-steganography-nlp-9907-codex,1,377,349,0.9257294429708223
direction-conflation-claude,1,261,261,1.0
disorder-order-sync-205e-claude,1,603,603,1.0
dist-shift-curriculum-claude,1,827,827,1.0
distinct-persona-ai-12e6-claude,1,361,337,0.9335180055401662
distinct-persona-ai-5094-codex,1,321,297,0.9252336448598131
distinct-persona-ai-b685-gemini,1,291,291,1.0
drama-types-ai-58c0-codex,1,646,604,0.934984520123839
drama-types-ai-e4ac-claude,1,750,708,0.944
emergent-alignment-llm-b11c-claude,1,313,313,1.0
emergent-misalignment-13b1-claude,1,841,841,1.0
emergent-misalignment-claude,1,212,212,1.0
emergent_adversarial_prompt_in_20260728_195215_54394617,1,3,3,1.0
emergent_collective_intelligen_20260729_001254_501032ff,1,0,0,
emergent_robustness_to_adversa_20260307_082630_b330f08b,1,310,310,1.0
error-extrapolation-1820-claude,1,415,380,0.9156626506024096
error-extrapolation-6a30-codex,1,592,574,0.9695945945945946
error-extrapolation-d0c9-gemini,1,308,308,1.0
error-propagation-proof-4a91-claude,1,316,316,1.0
evolved-desire-llms-claude,1,690,690,1.0
evolved-desire-llms-codex,1,297,295,0.9932659932659933
evolved-desire-llms-gemini,1,281,281,1.0
evolving-forecasters-claude,1,478,478,1.0
factoring-friendly-assist-claude,1,452,452,1.0
factorio-social-ai-claude,1,484,484,1.0
fairness-llm-calibration-0618-claude,1,374,374,1.0
false-memories-llm-claude,1,625,625,1.0
find-vars-nlp-claude,1,906,906,1.0
finetune-saturation-claude,1,524,524,1.0
finetuning-proof-datasets-claude,1,628,628,1.0
fix-lazy-llms-claude,1,297,297,1.0
fix-lazy-llms-codex,1,338,337,0.9970414201183432
fix-lazy-llms-f21e-claude,1,553,553,1.0
fix-lazy-llms-gemini,1,532,532,1.0
fix-user-intent-nlp-claude,1,447,447,1.0
fix-user-intent-nlp-codex,1,440,425,0.9659090909090909
fixed-points-of-ai-revision-a756,1,541,492,0.9094269870609981
fixing-user-intent-gemini,1,656,656,1.0
french-model-count-debc-claude,1,420,420,1.0
french-model-counting-9f9d-codex,1,203,201,0.9901477832512315
french-model-counting-ae53-claude,1,421,421,1.0
function-vectors-nlp-2537-codex,1,218,213,0.9770642201834863
function-vectors-nlp-299e-gemini,1,280,280,1.0
function-vectors-nlp-d7c3-claude,1,617,617,1.0
gatekeeping-signaling-f85b-claude,1,605,562,0.9289256198347108
generalization-refusal-f437-claude,1,783,783,1.0
generalization-refusal-f96b-codex,2,837,819,0.978494623655914
generalize-refusal-76f7-gemini,1,353,353,1.0
geom-loss-landscapes-cdfb-claude,1,557,557,1.0
granular-deletes-nlp-claude,1,547,547,1.0
grounded-novelty-ai-5114-codex,1,436,407,0.9334862385321101
grounded-novelty-ai-69c6-claude,1,1701,1608,0.9453262786596119
grounded-novelty-ai-6ac8-claude,1,1463,1372,0.937799043062201
hard-to-describe-dir-claude,1,261,261,1.0
hashmap-attention-5994-claude,1,501,470,0.93812375249501
hidden-misalignment-llm-6ab7-claude,1,810,810,1.0
hidden-state-storage-claude,1,486,486,1.0
hide-prompts-length-gemini,1,233,233,1.0
higher-level-implicit-claude,1,574,574,1.0
hilbert-nullstellensatz-d241-codex,1,330,293,0.8878787878787879
how_do_we_make_sure_skills_sel_20260715_033947_a0801865,1,1268,1190,0.9384858044164038
humor-recognition-llm-ca34-claude,1,361,361,1.0
humor-recognition-llm-claude,1,1030,1030,1.0
humor-recognition-llm-gemini,1,391,391,1.0
icl-finetune-gap-0331-claude,1,1246,1169,0.9382022471910112
icl-finetune-scale-398c-codex,1,545,507,0.9302752293577982
incontext-if-then-2dae-claude,1,636,636,1.0
incontext-if-then-31c6-codex,1,189,189,1.0
inctx-if-then-capacity-6ce0-gemini,1,350,350,1.0
inctx-if-then-capacity-claude,1,279,279,1.0
induction-head-leakage-36ef-gemini,1,403,403,1.0
induction-head-leakage-8afa-codex,1,250,240,0.96
induction-head-leakage-9a37-claude,1,931,931,1.0
info-in-out-genai-claude,1,609,609,1.0
instruct-story-mix-claude,1,636,636,1.0
interp-incongruent-3e42-gemini,1,392,392,1.0
interp-incongruent-48af-claude,1,567,567,1.0
interp-incongruent-79b3-codex,1,401,382,0.9526184538653366
invertible-lm-output-claude,1,796,796,1.0
isolate-knowledge-updates-claude,1,325,325,1.0
isolate-knowledge-updates-codex,1,369,368,0.997289972899729
isolate-knowledge-updates-f3cd-claude,1,401,401,1.0
isolate-knowledge-updates-gemini,1,1011,1011,1.0
jacobson-commutativity-3-36c0-codex,1,412,363,0.8810679611650486
keep-base-models-claude,1,959,959,1.0
latent-visual-reasoning-claude,1,0,0,
latent-visual-reasoning-codex,1,312,310,0.9935897435897436
latent-visual-reasoning-gemini,1,724,724,1.0
layer-wise-probing-llm-dcd0-claude,1,944,944,1.0
layer-wise-probing-llm-ece7-codex,1,398,398,1.0
layernorm-concept-assoc-65c1-codex,1,398,373,0.9371859296482412
layernorm-concept-assoc-8ff1-gemini,1,163,163,1.0
layernorm-concept-assoc-dbdc-claude,1,932,844,0.9055793991416309
leading-personas-nlp-claude,1,784,784,1.0
less-ai-sounding-claude,1,739,739,1.0
live-salmon-ai-test-19cc-claude,1,355,355,1.0
live-salmon-ai-test-4361-gemini,1,186,186,1.0
live-salmon-ai-test-7d56-codex,1,279,274,0.982078853046595
llm-behavior-constraints-claude,1,0,0,
llm-blindspot-priorities-60de-claude,1,748,690,0.9224598930481284
llm-bullying-analysis-9159-claude,1,480,480,1.0
llm-bullying-analysis-9ffe-gemini,1,260,260,1.0
llm-bullying-analysis-claude,1,605,605,1.0
llm-bullying-detection-e4d9-codex,1,302,295,0.9768211920529801
llm-complex-patterns-claude,1,379,379,1.0
llm-consciousness-info-claude,1,273,273,1.0
llm-coverage-efficiency-claude,1,883,883,1.0
llm-death-thoughts-89b7-codex,1,383,359,0.9373368146214099
llm-death-thoughts-b7a5-claude,1,529,508,0.9603024574669187
llm-death-thoughts-cdac-gemini,1,222,222,1.0
llm-epistemic-belief-claude,1,0,0,
llm-epistemic-beliefs-79a0-claude,1,412,412,1.0
llm-fallacy-detection-4626-claude,1,448,448,1.0
llm-forecasting-3be2-codex,1,285,271,0.9508771929824561
llm-forecasting-cd55-claude,1,809,732,0.9048207663782447
llm-forecasting-ea39-gemini,1,239,239,1.0
llm-forget-better-claude,1,575,575,1.0
llm-human-vs-llm-54c9-claude,1,275,275,1.0
llm-human-vs-llm-fa51-claude,1,303,303,1.0
llm-human-vs-llm-ffea-gemini,1,200,200,1.0
llm-intrusive-thoughts-claude,1,638,638,1.0
llm-judgment-effect-fa08-gemini,1,206,206,1.0
llm-judgment-impact-7e69-codex,1,272,249,0.9154411764705882
llm-judgment-impact-9fb4-claude,1,535,498,0.930841121495327
llm-keeping-secrets-claude,1,615,615,1.0
llm-keeping-secrets-gemini,1,388,388,1.0
llm-linguistic-eval-62f9-gemini,2,364,364,1.0
llm-linguistic-eval-bb29-claude,1,284,284,1.0
llm-linguistic-eval-dad4-claude,1,415,415,1.0
llm-loopholes-research-1dc8-gemini,1,155,155,1.0
llm-loopholes-research-570f-claude,1,864,774,0.8958333333333334
llm-loopholes-research-9e63-codex,1,434,413,0.9516129032258065
llm-multi-person-id-1096-claude,1,1327,1230,0.9269027882441597
llm-multi-person-id-f00b-codex,1,456,439,0.9627192982456141
llm-nonsense-commands-claude,1,513,513,1.0
llm-nonsense-commands-codex,1,356,354,0.9943820224719101
llm-nonsense-commands-gemini,1,424,424,1.0
llm-offense-analysis-claude,1,767,767,1.0
llm-one-pass-ordering-claude,1,365,365,1.0
llm-output-length-claude,1,336,336,1.0
llm-output-length-codex,1,329,329,1.0
llm-output-length-gemini,1,257,257,1.0
llm-pain-analysis-694e-codex,1,242,242,1.0
llm-pain-analysis-89e0-gemini,1,599,599,1.0
llm-pain-analysis-claude,1,371,371,1.0
llm-pain-analysis-eb23-claude,1,668,668,1.0
llm-persona-dislike-c0d6-codex,1,295,278,0.9423728813559322
llm-persona-dislike-e5f8-gemini,1,258,258,1.0
llm-pragmatic-sensitivity-216e-claude,1,884,884,1.0
llm-priming-sidechan-claude,1,609,609,1.0
llm-proof-verification-4ab2-claude,1,548,548,1.0
llm-provocations-claude,1,539,539,1.0
llm-reading-modes-30aa-gemini,1,189,189,1.0
llm-reading-modes-af09-codex,1,359,338,0.9415041782729805
llm-reading-modes-c01e-claude,1,956,928,0.9707112970711297
llm-recommendation-impact-2d38-gemini,1,513,513,1.0
llm-recommender-efficacy-84bb-claude,1,552,514,0.9311594202898551
llm-similar-sounds-claude,1,348,348,1.0
llm-sleep-mechanism-18a0-codex,1,443,416,0.9390519187358917
llm-sleep-mechanism-95e3-gemini,1,192,192,1.0
llm-sleep-mechanism-d0a6-claude,1,1169,1098,0.9392643284858854
llm-standard-knowledge-9f5d-codex,1,432,413,0.9560185185185185
llm-standard-knowledge-c8f8-claude,1,952,876,0.9201680672268907
llm-standard-knowledge-e336-gemini,1,294,294,1.0
llm-text-limitations-33a4-claude,1,538,538,1.0
llm-text-limitations-claude,1,584,584,1.0
llm-text-limitations-fe0a-codex,1,467,445,0.9528907922912205
