stage,event_type,count
execution,artifact_change,753
execution,error,1416
execution,message,19618
execution,other,51
execution,status,16837
execution,tool_call,28294
execution,tool_result,26937
paper_writer,artifact_change,7
paper_writer,error,8
paper_writer,message,34
paper_writer,status,90
paper_writer,tool_call,102
paper_writer,tool_result,94
resource_finder,artifact_change,283
resource_finder,error,2963
resource_finder,message,19930
resource_finder,other,1908
resource_finder,status,29127
resource_finder,tool_call,39092
resource_finder,tool_result,36114
