repository_id,provider_trajectories,raw_records,canonical_events,event_expansion_ratio,repo_name,run_duration_sec
1p-rlhf-claude,1,731,731,1.0,1p-rlhf-claude,7942.687823
abstraction-vs-grounding-claude,1,389,389,1.0,abstraction-vs-grounding-claude,6969.951861
adaptive-experimental-design-ead2,1,1098,1012,0.9216757741347905,adaptive-experimental-design-ead2,4395.091097
adv-meta-llm-interpret-2f36-claude,1,664,664,1.0,adv-meta-llm-interpret-2f36-claude,7383.765527
adv-ood-robustness-3427-gemini,1,593,593,1.0,adv-ood-robustness-3427-gemini,6078.842589
adv-ood-robustness-6bad-codex,1,212,211,0.9952830188679245,adv-ood-robustness-6bad-codex,2222.799781
adv-prompt-propagation-552e-claude,1,387,387,1.0,adv-prompt-propagation-552e-claude,
adv-prompts-firewalls-claude,1,555,555,1.0,adv-prompts-firewalls-claude,2359.293774
adv-robust-battery-sim-9bd0-claude,1,360,360,1.0,adv-robust-battery-sim-9bd0-claude,2704.757411
adversarial-battery-4ef6-claude,1,338,338,1.0,adversarial-battery-4ef6-claude,1475.991431
adversarial-ood-robustnes-73d8-claude,1,388,388,1.0,adversarial-ood-robustnes-73d8-claude,8971.598253
adversarial-prompts-abe2-claude,1,674,674,1.0,adversarial-prompts-abe2-claude,
adversarial-prompts-claude,1,798,798,1.0,adversarial-prompts-claude,8193.571252
adversarial-prompts-docs-codex,1,306,305,0.9967320261437909,adversarial-prompts-docs-codex,
adversarial-tone-llm-2ab2-claude,1,308,308,1.0,adversarial-tone-llm-2ab2-claude,991.481879
adversarial_prompt_injection_v_20260728_181355_db6fd146,1,3,3,1.0,adversarial_prompt_injection_v_20260728_181355_db6fd146,181.190654
adversarial_prompt_injection_v_20260729_000827_3a2a967e,1,0,0,,adversarial_prompt_injection_v_20260729_000827_3a2a967e,2.578636
agents-avoid-collapse-2361-claude,1,490,458,0.9346938775510204,agents-avoid-collapse-2361-claude,6539.624694
agents-avoid-collapse-4c30-gemini,1,238,238,1.0,agents-avoid-collapse-4c30-gemini,3427.873409
agents-avoid-collapse-6c08-codex,1,403,380,0.9429280397022333,agents-avoid-collapse-6c08-codex,1835.523106
ai-driven-invention-03d7-gemini,1,197,197,1.0,ai-driven-invention-03d7-gemini,674.195911
ai-driven-invention-4088-claude,1,873,797,0.9129438717067583,ai-driven-invention-4088-claude,60283.278981
ai-driven-invention-9655-codex,1,462,442,0.9567099567099567,ai-driven-invention-9655-codex,2161.706202
ai-human-comm-codex,1,157,156,0.9936305732484076,ai-human-comm-codex,
ai-human-communication-claude,1,0,0,,ai-human-communication-claude,
ai-human-communication-gemini,1,352,352,1.0,ai-human-communication-gemini,
ai-methods-durability-codex,1,331,329,0.9939577039274925,ai-methods-durability-codex,
ai-methods-durability-gemini,1,665,665,1.0,ai-methods-durability-gemini,
ai-review-equilibrium-claude,1,0,0,,ai-review-equilibrium-claude,
ai-review-equilibrium-codex,1,399,398,0.9974937343358395,ai-review-equilibrium-codex,
ai-review-equilibrium-gemini,1,757,757,1.0,ai-review-equilibrium-gemini,
ai-undetectability-lb-433c-claude,1,251,251,1.0,ai-undetectability-lb-433c-claude,
ai-undetectability-lb-claude,1,679,679,1.0,ai-undetectability-lb-claude,5241.666824
ai-undetectability-lb-dd40-gemini,1,357,357,1.0,ai-undetectability-lb-dd40-gemini,
align-failure-taxonomy-d26d-codex,1,392,370,0.9438775510204082,align-failure-taxonomy-d26d-codex,1207.537512
align-failures-taxonomy-344e-gemini,1,168,168,1.0,align-failures-taxonomy-344e-gemini,1367.307083
align-failures-taxonomy-db56-claude,1,401,373,0.9301745635910225,align-failures-taxonomy-db56-claude,87922.379309
