from_event,to_event,count
tool_call,tool_result,55381
tool_result,tool_call,26630
status,status,25239
message,tool_call,24476
tool_result,message,21003
status,tool_call,11377
message,message,11227
tool_result,status,10454
tool_call,status,5851
status,message,4693
status,tool_result,4214
tool_call,error,4116
tool_result,tool_result,3414
message,status,2824
error,tool_call,2225
tool_call,tool_call,2029
tool_result,other,1357
error,status,1084
other,message,1013
error,message,886
message,artifact_change,707
artifact_change,message,656
other,tool_call,498
other,other,306
message,other,266
artifact_change,tool_call,253
tool_result,artifact_change,198
other,status,130
artifact_change,artifact_change,116
tool_call,message,104
status,error,88
tool_result,error,88
error,tool_result,75
error,error,63
message,tool_result,51
message,error,31
error,artifact_change,20
error,other,19
artifact_change,status,17
other,tool_result,10
tool_call,other,7
status,other,3
other,error,1
status,artifact_change,1
artifact_change,other,1
other,artifact_change,1
