repo_name,repo_status,is_trajectory,include_in_analysis,exclusion_reason,mode,mode_confidence,mode_source,provider,repo_created_at,run_created_at,capability_era,has_pipeline_state,has_pipeline_results,has_autoresearch_runtime,has_hitl_runtime
ai-methods-durability-claude,unclassified_content,False,False,no_analyzable_execution,,,,claude,2025-12-22T18:35:56Z,,unknown,False,False,False,False
constrain-llm-behavior-gemini,unclassified_content,False,False,no_analyzable_execution,,,,gemini,2025-12-29T05:35:22Z,,unknown,False,False,False,False
steering-vector-decay-b58d-claude,unclassified_content,False,False,no_analyzable_execution,,,,claude,2026-03-02T22:46:25Z,,unknown,False,False,False,False
pca-hidden-states-nlp-claude,initialized_only,False,False,initialized_only_no_execution,,,,claude,2026-03-22T19:24:10Z,,unknown,False,False,False,False
multi-persona-exag-claude,initialized_only,False,False,initialized_only_no_execution,,,,claude,2026-03-23T09:52:35Z,,unknown,False,False,False,False
math-distillation-challenge-claude,empty,False,False,empty_repository,,,,unknown,2026-03-24T19:25:12Z,,unknown,False,False,False,False
confidence_calibration_bias_in_20260729_173126_3e462a5c,initialized_only,False,False,initialized_only_no_execution,,,,unknown,2026-07-29T17:31:27Z,,unknown,False,False,False,False
uncertainty_quantification_in__20260729_174425_a1dd0b7b,initialized_only,False,False,initialized_only_no_execution,,,,unknown,2026-07-29T17:44:26Z,,unknown,False,False,False,False
emergent_collective_intelligen_20260729_220327_7c5d10a3,initialized_only,False,False,initialized_only_no_execution,,,,unknown,2026-07-29T22:03:29Z,,unknown,False,False,False,False
decomposing_epistemic_and_alea_20260729_220440_015e4747,initialized_only,False,False,initialized_only_no_execution,,,,unknown,2026-07-29T22:04:41Z,,unknown,False,False,False,False
causal_analysis_of_chain_of_th_20260729_225459_a67beda8,initialized_only,False,False,initialized_only_no_execution,,,,unknown,2026-07-29T22:55:00Z,,unknown,False,False,False,False
mediation_analysis_of_chain_of_20260729_225721_8b610257,initialized_only,False,False,initialized_only_no_execution,,,,unknown,2026-07-29T22:57:22Z,,unknown,False,False,False,False
architectural_vulnerability_pa_20260729_233928_30466f46,initialized_only,False,False,initialized_only_no_execution,,,,unknown,2026-07-29T23:39:29Z,,unknown,False,False,False,False
uncertainty_quantification_in__20260729_234457_09cb52d9,initialized_only,False,False,initialized_only_no_execution,,,,unknown,2026-07-29T23:44:58Z,,unknown,False,False,False,False
uncertainty_quantification_in__20260729_234744_42b8fd3c,initialized_only,False,False,initialized_only_no_execution,,,,unknown,2026-07-29T23:47:45Z,,unknown,False,False,False,False
optimal_context_window_scaling_20260729_235329_d2f87e8b,initialized_only,False,False,initialized_only_no_execution,,,,unknown,2026-07-29T23:53:30Z,,unknown,False,False,False,False
adversarial_robustness_of_caus_20260730_075226_8bc8290e,initialized_only,False,False,initialized_only_no_execution,,,,unknown,2026-07-30T07:52:27Z,,unknown,False,False,False,False
probabilistic_calibration_metr_20260730_075410_ac649b07,initialized_only,False,False,initialized_only_no_execution,,,,unknown,2026-07-30T07:54:11Z,,unknown,False,False,False,False
systematic-stress-testing-daac,initialized_only,False,False,initialized_only_no_execution,,,,unknown,2026-08-04T17:56:11Z,,unknown,False,False,False,False
blind-adversarial-evaluation-3b83,initialized_only,False,False,initialized_only_no_execution,,,,unknown,2026-08-04T17:58:53Z,,unknown,False,False,False,False
systematically-mapping-the-null-result-3d8a,initialized_only,False,False,initialized_only_no_execution,,,,unknown,2026-08-04T21:04:57Z,,unknown,False,False,False,False
diagnosing-null-results-in-misalignment-e05e,initialized_only,False,False,initialized_only_no_execution,,,,unknown,2026-08-04T21:10:01Z,,unknown,False,False,False,False
systematic-stress-testing-3eba,initialized_only,False,False,initialized_only_no_execution,,,,unknown,2026-08-04T21:46:10Z,,unknown,False,False,False,False
win-on-post-train-bencn-75ee,initialized_only,False,False,initialized_only_no_execution,,,,unknown,2026-08-05T16:02:04Z,,unknown,False,False,False,False
scaling-law-deviations-under-targeted-ee5c,initialized_only,False,False,initialized_only_no_execution,,,,unknown,2026-08-07T19:26:20Z,,unknown,False,False,False,False
can-powerful-models-help-with-difficult-dab1-claude,initialized_only,False,False,initialized_only_no_execution,,,,claude,2026-08-20T02:16:56Z,,unknown,False,False,False,False
cot-interpretability-brain-age,empty,False,False,empty_repository,,,,unknown,2026-08-27T04:42:25Z,,unknown,False,False,False,False
