repo_name,provider,stage_name,stage_started_at,stage_completed_at,stage_duration_sec,duration_source,success,return_code,has_error
llm-nonsense-commands-claude,codex,resource_finder,2026-03-22T03:08:01.166143,2026-03-22T03:33:02.362221,1501.196078,timestamps,True,,False
llm-nonsense-commands-claude,codex,experiment_runner,2026-03-22T03:33:02.362489,2026-03-22T03:53:48.956291,1246.593802,timestamps,True,,False
evolved-desire-llms-claude,codex,resource_finder,2026-03-23T19:47:31.920752,2026-03-23T20:10:11.562026,1359.641274,timestamps,True,,False
evolved-desire-llms-claude,codex,experiment_runner,2026-03-23T20:10:11.562313,2026-03-23T22:50:52.125126,9640.562813,timestamps,True,,False
model-character-limit-claude,codex,resource_finder,2026-03-22T23:12:57.790798,2026-03-22T23:47:40.876019,2083.085221,timestamps,True,,False
model-character-limit-claude,codex,experiment_runner,2026-03-22T23:47:40.876496,2026-03-23T00:09:09.397267,1288.520771,timestamps,True,,False
adversarial-prompts-claude,codex,resource_finder,2026-03-22T03:08:01.939183,2026-03-22T03:56:12.127320,2890.188137,timestamps,True,,False
adversarial-prompts-claude,codex,experiment_runner,2026-03-22T03:56:12.127601,2026-03-22T05:24:35.509357,5303.381756,timestamps,True,,False
humor-recognition-llm-claude,codex,resource_finder,2026-03-21T07:29:07.720364,2026-03-21T08:17:04.757211,2877.036847,timestamps,True,,False
humor-recognition-llm-claude,codex,experiment_runner,2026-03-21T08:17:04.757458,2026-03-21T09:07:01.594166,2996.836708,timestamps,True,,False
natural-hallucinations-claude,codex,resource_finder,2026-03-20T15:41:37.583896,2026-03-20T16:09:25.545410,1667.961514,timestamps,True,,False
natural-hallucinations-claude,codex,experiment_runner,2026-03-20T16:09:25.545731,2026-03-20T17:07:05.449628,3459.903897,timestamps,True,,False
isolate-knowledge-updates-claude,codex,resource_finder,2026-03-22T13:54:52.460345,2026-03-22T14:12:15.245894,1042.785549,timestamps,True,,False
isolate-knowledge-updates-claude,codex,experiment_runner,2026-03-22T14:12:15.246169,2026-03-22T14:26:59.331505,884.085336,timestamps,True,,False
llm-washing-machine-claude,codex,resource_finder,2026-03-21T04:57:10.339022,2026-03-21T05:52:16.593533,3306.254511,timestamps,True,,False
llm-washing-machine-claude,codex,experiment_runner,2026-03-21T05:52:16.593880,2026-03-21T06:11:03.532040,1126.93816,timestamps,True,,False
self-critique-drift-6de2-claude,codex,resource_finder,2026-03-05T22:47:58.888894,2026-03-05T23:09:40.872337,1301.983443,timestamps,True,,False
self-critique-drift-6de2-claude,codex,experiment_runner,2026-03-05T23:09:40.872788,2026-03-06T02:07:59.401278,10698.52849,timestamps,True,,False
llm-fallacy-detection-4626-claude,codex,resource_finder,2026-03-06T04:03:33.857473,2026-03-06T04:26:49.054674,1395.197201,timestamps,True,,False
llm-fallacy-detection-4626-claude,codex,experiment_runner,2026-03-06T04:26:49.055017,2026-03-06T05:25:44.437486,3535.382469,timestamps,True,,False
architectural_diversity_in_mul_20260306_214906_8d1e21a6,codex,resource_finder,2026-03-06T21:49:18.751834,2026-03-06T22:05:32.905544,974.15371,timestamps,True,,False
