repo_name,repo_status,is_trajectory,include_in_analysis,exclusion_reason,mode,mode_confidence,mode_source,provider,repo_created_at,run_created_at,capability_era,has_pipeline_state,has_pipeline_results,has_autoresearch_runtime,has_hitl_runtime
llms-expose-science-claude,executed,True,True,,standard,high,head_commit_pre_autoresearch,claude,2025-12-14T22:45:32Z,,unknown,False,False,False,False
ai-human-communication-claude,executed,True,True,,standard,high,head_commit_pre_autoresearch,claude,2025-12-15T00:11:12Z,,unknown,False,False,False,False
llm-nonsense-commands-codex,executed,True,True,,standard,high,head_commit_pre_autoresearch,codex,2025-12-15T01:14:17Z,,unknown,False,False,False,False
llms-expose-science-codex,executed,True,True,,standard,high,head_commit_pre_autoresearch,codex,2025-12-15T01:14:55Z,,unknown,False,False,False,False
ai-human-comm-codex,executed,True,True,,standard,high,head_commit_pre_autoresearch,codex,2025-12-15T01:58:17Z,,unknown,False,False,False,False
llm-nonsense-commands-gemini,executed,True,True,,standard,high,head_commit_pre_autoresearch,gemini,2025-12-15T03:38:50Z,,unknown,False,False,False,False
llms-expose-science-gemini,executed,True,True,,standard,high,head_commit_pre_autoresearch,gemini,2025-12-15T05:15:54Z,,unknown,False,False,False,False
ai-human-communication-gemini,executed,True,True,,standard,high,head_commit_pre_autoresearch,gemini,2025-12-15T05:16:07Z,,unknown,False,False,False,False
llm-nonsense-commands-claude,executed,True,True,,standard,high,run_timestamp_pre_autoresearch,codex,2025-12-16T08:25:23Z,2026-03-22T03:08:01.165836,pre_autoresearch,True,True,False,False
collab-disagreement-claude,executed,True,True,,standard,high,head_commit_pre_autoresearch,claude,2025-12-22T04:02:25Z,,unknown,False,False,False,False
collab-disagreement-codex,executed,True,True,,standard,high,head_commit_pre_autoresearch,codex,2025-12-22T04:03:00Z,,unknown,False,False,False,False
collab-disagreement-gemini,executed,True,True,,standard,high,head_commit_pre_autoresearch,gemini,2025-12-22T04:03:12Z,,unknown,False,False,False,False
evolved-desire-llms-gemini,executed,True,True,,standard,high,head_commit_pre_autoresearch,gemini,2025-12-22T05:03:12Z,,unknown,False,False,False,False
evolved-desire-llms-codex,executed,True,True,,standard,high,head_commit_pre_autoresearch,codex,2025-12-22T06:25:18Z,,unknown,False,False,False,False
evolved-desire-llms-claude,executed,True,True,,standard,high,run_timestamp_pre_autoresearch,codex,2025-12-22T06:25:35Z,2026-03-23T19:47:31.920433,pre_autoresearch,True,True,False,False
